Compound,Price_kg_usd,Specific_Heat,Fusion_Heat,Density,Source_Price,Source_Specific_Heat,Source_Fusion_Heat,Source_density,Comment_Price, Comment Specific_Heat,Comment_Fusion_Heat
Alginato de sodio,15,1.5,0,1,https://arbiotechem.en.made-in-china.com/product/hOYaiJPKHCpz/China-High-Viscosity-Bulk-Price-Food-Grade-CAS-9005-38-3-Sodium-Alginate.html,https://www.sciencedirect.com/science/article/pii/0040603195024913,NA,https://www.guidechem.com/dictionary/en/9005-38-3.html,,J/gC,
Cera de carnauba nº 1 amarilla,0.6,2.1,168.59,0.99,https://ubchembio.en.made-in-china.com/product/vdtazFZAlrVw/China-Food-Ingredient-E903-Emulsifier-Refined-Carnauba-Wax-Flakes-CAS-8015-86-9.html,"https://www.sciencedirect.com/science/article/pii/S1359836813000139#:~:text=The%20specific%20heat%20capacity%20of,8%5D%2C%20%5B9%5D.",https://www.researchgate.net/figure/The-melting-and-crystallization-properties-enthalpy-of-fusion-and-crystallinity-of_tbl1_251397663,https://www.chemsrc.com/en/cas/8015-86-9_1198975.html,,Suposicion (J/gC),Usando el valor de beeswax como proxy al valor de carnauba (J/g)
Croscarmelosa de sodio,17.5,1.8,0,0.48,https://sunhereexcipients.en.made-in-china.com/product/FOyfmhsZyzcg/China-Hot-Sales-Factory-Croscarmellose-Sodium-CCS-74811-65-7.html,Suposicion,NA,https://www.chemicalbook.com/ProductChemicalPropertiesCB9418013_EN.htm,,Suposicion (J/gC),
Acetaminofén,85,0,0,1.3,https://excellence88.en.made-in-china.com/product/ZFyTptNxCBRA/China-Factory-Supply-CAS-103-90-2-Paracetamol-Acetaminophen-with-Good-Price.html,Suposicion,NA,https://inchem.org/documents/icsc/icsc/eics1330.htm,,Suposicion (J/gC),
Clorhidrato de fenilefrina,40,1.8,0,1,https://shanghaicrm.en.made-in-china.com/product/PdeAcHzxhWRX/China-99-High-Purity-Favorable-Price-61-76-7-Phenylephrine-Hydrochloride-in-Stock.html,Suposicion,NA,Assumption (g/cm3),,Suposicion (J/gC),
Clorhidrato de difenhidramina,7.9,1.8,0,1.013,https://yuanmengbio.en.made-in-china.com/product/DZBTXVOCyrhP/China-China-Supply-Diphenhydramine-Hydrochloride-CAS-147-24-0-Diphenhydramine.html,Suposicion,NA,"https://www.sciencedirect.com/topics/chemistry/diphenhydramine-hydrochloride#:~:text=Diphenhydramine%20has%20a%20water%20solubility,Density%20is%201.013%E2%80%931.012.",,Suposicion (J/gC),
Cera blanca,2.5,2.1,165.47,0.958,https://hebeiyime.en.made-in-china.com/product/rdGaxKEAHFkZ/China-Wholesale-Microcrystalline-Wax-Ceresin-Wax-70-80-Paraffin-Wax-with-Best-Price.html,"https://www.sciencedirect.com/science/article/pii/S1359836813000139#:~:text=The%20specific%20heat%20capacity%20of,8%5D%2C%20%5B9%5D.",https://www.researchgate.net/figure/The-melting-and-crystallization-properties-enthalpy-of-fusion-and-crystallinity-of_tbl1_251397663,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/beeswax,,Suposicion (J/gC),(J/g)
Hidroxietilcelulosa,10,0,0,0.75,https://zhishangchemical.en.made-in-china.com/product/FwOagPHAnDUh/China-High-Quality-Hydroxyethyl-Cellulose-CAS-9004-62-0.html,NA,NA,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB6356167.htm,,,
Acrilonitrilo butadieno estireno,9.5,0,0,1,https://www.amazon.com/MG-Chemicals-Printer-Filament-Spool/dp/B00QTJ1QI6/ref=sr_1_23?c=ts&keywords=3D%2BPrinting%2BFilament&qid=1678905773&refinements=p_n_feature_five_browse-bin%3A11539342011&rnid=11539341011&s=industrial&sr=1-23&ts_id=6066129011&th=1,NA,NA,https://www.bpf.co.uk/plastipedia/polymers/ABS_and_Other_Specialist_Styrenics.aspx,,,
