Instrumento,Cantidad,Precio,Fuente
Parrila Eléctrica,10, 405 ,https://www.veteris.mx/products/parrilla-electrica
Impresora 3D,4,29499,https://3dfactory.mx/collections/impresoras-3d/products/cr-10-s5
Vehículo,1,29390,https://motos.suzuki.com.mx/garage/ax4
Báscula,2,16428.5,https://www.grainger.com.mx/producto/OHAUS-B%C3%A1scula-de-Banco-Compacta%2C8-45-64%22-L/p/49WA10?searchAnalytics=true&analytics=searchResults
Vaso Precipitado,20,80,https://www.comercializadoradiag.com/product-page/vaso-de-precipitado-modelo-1000-20
Vidrio de reloj,20,40,https://www.comercializadoradiag.com/product-page/vidrio-de-reloj-modelo-1175-7
Espátula,10,70,https://www.comercializadoradiag.com/product-page/esp%C3%A1tula-cuchara-de-acero-inoxidable-de-30cm-modelo-cvq-0301-marca-civeq
Escobillón,3,50,https://www.comercializadoradiag.com/product-page/escobill%C3%B3n-para-vaso-de-precipitado-forma-de-herradura-11cm-modelo-cvq19
Escurridero,1,1130,https://www.comercializadoradiag.com/product-page/escurridero-de-alambre-recubierto-de-vinilo-sin-charola-modelo-ae035-a
